site_name,bottle,NRRI_id,voltage,carbon,time,day,replicate,constituent,parameter,result_value,unit
"NRRI SED, CONTROL",MSC863BG,V0A0T0R1,FALSE,FALSE,T0,0,1,SMHG,S0,253.2309333,MG/KG
"NRRI SED, CONTROL",MSC864BG,V0A0T0R2,FALSE,FALSE,T0,0,2,SMHG,S0,445.8839791,MG/KG
"NRRI SED, CONTROL",MSC865BG,V0A0T0R3,FALSE,FALSE,T0,0,3,SMHG,S0,516.5013759,MG/KG
"NRRI SED, CONTROL",MSC866BG,V0A0T1R1,FALSE,FALSE,T1,1,1,SMHG,S0,476.0561541,MG/KG
"NRRI SED, CONTROL",MSC867BG,V0A0T1R2,FALSE,FALSE,T1,1,2,SMHG,S0,380.0508406,MG/KG
"NRRI SED, CONTROL",MSC868BG,V0A0T1R3,FALSE,FALSE,T1,1,3,SMHG,S0,379.3333015,MG/KG
"NRRI SED, CONTROL",MSC869BG,V0A0T2R1,FALSE,FALSE,Tf,14,1,SMHG,S0,113.3793588,MG/KG
"NRRI SED, CONTROL",MSC870BG,V0A0T2R2,FALSE,FALSE,Tf,14,2,SMHG,S0,61.37342551,MG/KG
"NRRI SED, CONTROL",MSC871BG,V0A0T2R3,FALSE,FALSE,Tf,14,3,SMHG,S0,77.69863874,MG/KG
"NRRI SED, ACTIVATED CARBON",MSC872BG,V0A1T0R1,FALSE,TRUE,T0,0,1,SMHG,S0,154.532754,MG/KG
"NRRI SED, ACTIVATED CARBON",MSC875BG,V0A1T1R1,FALSE,TRUE,T1,1,1,SMHG,S0,100.3654218,MG/KG
"NRRI SED, ACTIVATED CARBON",MSC878BG,V0A1T2R1,FALSE,TRUE,Tf,14,1,SMHG,S0,115.6196671,MG/KG
"NRRI SED, VOLTAGE",MSC881BG,V1A0T0R1,TRUE,FALSE,T0,0,1,SMHG,S0,790.2944106,MG/KG
"NRRI SED, VOLTAGE",MSC882BG,V1A0T0R2,TRUE,FALSE,T0,0,2,SMHG,S0,520.4876471,MG/KG
"NRRI SED, VOLTAGE",MSC883BG,V1A0T0R3,TRUE,FALSE,T0,0,3,SMHG,S0,463.1895569,MG/KG
"NRRI SED, VOLTAGE",MSC884BG,V1A0T1R1,TRUE,FALSE,T1,1,1,SMHG,S0,273.9388441,MG/KG
"NRRI SED, VOLTAGE",MSC885BG,V1A0T1R2,TRUE,FALSE,T1,1,2,SMHG,S0,397.8544558,MG/KG
"NRRI SED, VOLTAGE",MSC886BG,V1A0T1R3,TRUE,FALSE,T1,1,3,SMHG,S0,544.8240926,MG/KG
"NRRI SED, VOLTAGE",MSC887BG,V1A0T2R1,TRUE,FALSE,Tf,14,1,SMHG,S0,88.62402855,MG/KG
"NRRI SED, VOLTAGE",MSC888BG,V1A0T2R2,TRUE,FALSE,Tf,14,2,SMHG,S0,105.4677492,MG/KG
"NRRI SED, VOLTAGE",MSC889BG,V1A0T2R3,TRUE,FALSE,Tf,14,3,SMHG,S0,92.55602914,MG/KG
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC890BG,V1A1T0R1,TRUE,TRUE,T0,0,1,SMHG,S0,194.781716,MG/KG
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC891BG,V1A1T0R2,TRUE,TRUE,T0,0,2,SMHG,S0,208.37152,MG/KG
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC892BG,V1A1T0R3,TRUE,TRUE,T0,0,3,SMHG,S0,184.0030316,MG/KG
